Katman;Renk (ACI);Çizgi tipi;Kalınlık 1/100 (mm);Yazdırılır;İçerik;Dayanak;Öğe sayısı (tüm set)
M-GOST-MERDIVEPOZ;145;Continuous;0,09;evet;Merdiven çıkış oku, basamak numaraları;ÇŞB;26
M-GOST-PARSELSINR;21;ACAD_ISO03W100;0,18;evet;Parsel sınırı / bahçe duvarı;ÇŞB;1
M-GOST-PENCEREPOZ;62;Continuous;0,09;evet;Pencere poz etiketleri;ÇŞB;60
M-GOST-PLANKOT;46;Continuous;0,09;evet;Plan kotları;ÇŞB;42
M-GOST-TABLO;1;Continuous;0,09;evet;Doğrama listesi, pafta listesi, alan tabloları;ÇŞB;307
M-GOST-YAPIYAKLAS;35;ACAD_ISO02W100;0,15;evet;Yapı yaklaşma sınırı (çekme mesafeleri);ÇŞB;2
M-GOST-YAZI;2;Continuous;0,09;evet;Genel yazılar, başlıklar, malzeme notları;ÇŞB;196
M-HAVU-BETONARME;4;Continuous;0,18;evet;Havuz;TÜRETİLMİŞ;2
M-HAVU-BETONARME-T;8;Continuous;0,05;evet;Havuz — tarama;TÜRETİLMİŞ (-T kuralı);2
M-ISIK-GALVANIZ;150;Continuous;0,09;evet;Bodrum ışıklıkları ve galvaniz ızgara;TÜRETİLMİŞ;14
M-ISIK-GALVANIZ-T;8;Continuous;0,05;evet;Bodrum ışıklıkları ve galvaniz ızgara — tarama;TÜRETİLMİŞ (-T kuralı);20
M-ISYA-TASYUNU;251;Continuous;0,09;evet;Isı yalıtımı (taşyünü / XPS) ve su yalıtımı;ÇŞB (ISYA);45
M-ISYA-TASYUNU-T;8;Continuous;0,05;evet;Isı yalıtımı (taşyünü / XPS) ve su yalıtımı — tarama;ÇŞB (ISYA) (-T kuralı);23
M-KALD-TAS;45;Continuous;0,09;evet;Dış zemin: teras, giriş sahanlığı, basamaklar;ÇŞB;20
M-KALD-TAS-T;8;Continuous;0,05;evet;Dış zemin: teras, giriş sahanlığı, basamaklar — tarama;ÇŞB (-T kuralı);9
M-KORK-CAM;100;Continuous;0,09;evet;Cam korkuluk ve küpeşte;ÇŞB;22
M-KPKN-AHSAP;93;Continuous;0,09;evet;Kapı kanadı;ÇŞB;55
M-KPKN-AHSAP-1;93;Continuous;0,09;evet;Kapı kanadı — görünüşte görünen (derinlik 1);ÇŞB;10
M-KPKS-AHSAP;160;Continuous;0,09;evet;Kapı kasası;ÇŞB;88
M-MERD-BETONARME;6;Continuous;0,18;evet;Merdiven kolları, basamaklar, sahanlık;ÇŞB;111
M-MERD-BETONARME-2;6;Continuous;0,09;evet;Merdiven kolları, basamaklar, sahanlık — görünüşte görünen (derinlik 2);ÇŞB;10
M-MERD-BETONARME-T;8;Continuous;0,05;evet;Merdiven kolları, basamaklar, sahanlık — tarama;ÇŞB (-T kuralı);6
M-OLUK-SAC;194;Continuous;0,09;evet;Oluk ve alın;ÇŞB;2
M-PNKS-ALUMINYUM;171;Continuous;0,09;evet;Pencere / doğrama kasası ve kanadı (alüminyum);ÇŞB;244
M-PNKS-ALUMINYUM-1;171;Continuous;0,09;evet;Pencere / doğrama kasası ve kanadı (alüminyum) — görünüşte görünen (derinlik 1);ÇŞB;133
M-PNKS-ALUMINYUM-2;171;Continuous;0,09;evet;Pencere / doğrama kasası ve kanadı (alüminyum) — görünüşte görünen (derinlik 2);ÇŞB;23
M-SAFT-TESISAT-T;8;Continuous;0,05;evet;Tesisat şaftı — tarama;TÜRETİLMİŞ (-T kuralı);3
M-SIVA-1;52;Continuous;0,05;evet;Sıva (cephe: ince silikon sıva) — görünüşte görünen (derinlik 1);ÇŞB;4
M-TASI-BETONARME;5;Continuous;0,35;evet;Betonarme kolon, perde, kiriş, döşeme, temel (kesilen);ÇŞB;106
M-TASI-BETONARME-1;5;Continuous;0,35;evet;Betonarme kolon, perde, kiriş, döşeme, temel (kesilen) — görünüşte görünen (derinlik 1);ÇŞB;46
M-TASI-BETONARME-1-T;250;Continuous;0,05;evet;Betonarme kolon, perde, kiriş, döşeme, temel (kesilen) — görünüşte görünen (derinlik 1) — tarama;ÇŞB (-T kuralı);7
M-TASI-BETONARME-T;250;Continuous;0,05;evet;Betonarme kolon, perde, kiriş, döşeme, temel (kesilen) — tarama;ÇŞB (-T kuralı);120
M-TEFR-MEKANIK;238;Continuous;0,09;evet;Vitrifiye, mutfak ve mekanik ekipman, asansör;ÇŞB;118
M-TEFR-MIMARI;29;Continuous;0,09;evet;Mobilya / tefriş;ÇŞB;395
M-YIBO-SAC;12;Continuous;0,09;evet;Yağmur iniş borusu;ÇŞB;12
M-YIBO-SAC-1;12;Continuous;0,09;evet;Yağmur iniş borusu — görünüşte görünen (derinlik 1);ÇŞB;8
M-YOLL-ASFALT;54;Continuous;0,09;evet;İmar yolu;ÇŞB;1
M-YOLL-TAS;54;Continuous;0,09;evet;Araç yolu, bahçe yolları (granit küp taş);ÇŞB;6
M-YOLL-TAS-T;8;Continuous;0,05;evet;Araç yolu, bahçe yolları (granit küp taş) — tarama;ÇŞB (-T kuralı);4
M-ZMNK-DOGALTAS-T;8;Continuous;0,05;evet;Zemin kaplama: traverten / doğal taş — tarama;ÇŞB (-T kuralı);18
M-ZMNK-SERAMIK-T;8;Continuous;0,05;evet;Zemin kaplama: porselen / seramik — tarama;ÇŞB (-T kuralı);13
